id	lang	idiom	type	core:quot	core:rep	feature	value:rep	value:quot	value:infer	value:unwit	value:mir	value:other	form	value:structure	source_label	source	page	comment	contributor	example_as_in_source	example	translation_as_in_source	translation	gloss_source	gloss	example_source	example_page	example_comment
1	Agul	Huppuq	village	yes	yes	Evidential and quotative particles	attested	not attested					ʁaj	particle	показатель пересказывательности	maisakmerdanova2002	NA		Samira Verhees	ge adine-Raj		говорят, он пришел				maisakmerdanova2002	110	
4	Akhvakh	Northern Akhvakh	idiom	yes	no	Evidential and quotative particles		attested					eƛ'ːehe / ƛ'ːohe	verb	косвенная речь	magomedbekova1967	107		Samira Verhees	particles_akhvakh_lehe.jpg						magomedbekova1967	107	
3	Akhvakh	Northern Akhvakh	idiom	no	no	Evidential and quotative particles		attested					ƛ'ːe / eƛ'ːe	particle	косвенная речь	magomedbekova1967	107		Samira Verhees	particles_akhvakh_le.jpg						magomedbekova1967	107	
5	Akhvakh	Tad-Magitl'	village	no	no	Evidential and quotative particles		attested					ƛ'e	particle	косвенная речь	magomedovaabdulaeva2007	704	According to Magomedova & Abdulaeva (2007: 704) also used to mark indirect questions, though the example provided looks like a regular quotative construction with the verb ‘ask’.	Samira Verhees	Ачи охьакье йекъ1егье йик1вари гьудуйе / Ачикье йекъ1егье йик1вари гьудуйе		Она приходила просить денег взяймы. Replaced palochka with 1.				magomedovaabdulaeva2007	704	Kind of a weird example to be honest.
2	Akhvakh	Northern Akhvakh	idiom	no	yes	Evidential and quotative particles	attested						di	particle	передача чужой речи, повествование, заглазное действие	magomedbekova1967	107		Samira Verhees	particles_akhvakh_di.jpg						magomedbekova1967	107	
6	Andi	Andi	village	yes	no	Evidential and quotative particles		attested					ʁodːu / ɬoʁodːu	particle	quotative	maisak2017	NA	Particles “agree” with the tense of the predicate: non-aorist / aorist. See Maisak (2017).	Samira Verhees	isa-di rac’ːin-dːu en.š-la ɬe-di=ɬoʁo rela ɢobi=dːu		Jesus asked, “Who touched me?”		Jesus-erg ask-prf [self.m-super who-erg=quot hand touch.aor]=quot		maisak2017	3	Originally from another source. Shows a particle that splits into two parts.
9	Andi	Gagatli	village	no	no	Evidential and quotative particles		attested					ʁodːu	particle	цитатная частица	salimov2010	229-237		Samira Verhees	Ч1акъваруди рул1идду къгамкъгухъи, гьинджелло бикъгобор сорохъи рулогъо: “Анжиди джилъибор, кьетур букъогъодду”.		Перепел сказал синице, еще и если придет лисе скажи: “топор если есть, дерево срубить, мол”.				salimov2010	227	
10	Andi	Rikvani	village	no	no	Evidential and quotative particles		attested					(ʁo)jd // (ʁo)did / ɬoʁojd	particle	quotative	maisak2017	NA	Particles “agree” with the tense of the predicate: non-aorist / aorist. See Maisak (2017).	Samira Verhees	ali-l’o ruʟ-o, ho-<w>a wuɢo-b=ʁojd / ali-d di-l’o ruʟi, ži-w w-ukon=ɬoʁojd		Tell Ali to come here. / Ali told me he ate already.		Ali-super.lat say-imp [prox-lat<m> m-come-imp]=quot / Ali-erg I-super.lat say.aor [self-m m-eat.aor]=quot		maisak2017	2	Examples for both non-aorist and aorist form.
13	Andi	Zilo	village	no	no	Evidential and quotative particles		attested					(ʁo)du	particle	quotative	kayeetal2020	CHECK		Samira Verhees	[c'ːa r-iʁ-i-j]=du č'-o-r χuj anɬ-i-r-sːu		It seems to me that the rain has stopped, I do not hear the noise [anymore].		rain inan2-stop-pst-pf=quot seem-pst-prog noise hear-pst-prog-neg		kayeetal2020	CHECK	Example without ʁo.
7	Andi	Andi	village	no	yes	Evidential and quotative particles	attested						ʁodi / ɬodi	particle	reportative	maisak2017	NA	Particles “agree” with the tense of the predicate: non-aorist / aorist. See Maisak (2017).	Samira Verhees	onšːi mola-rasadin.o-di b-ičːi=ɬodi ʟ’ankːala, b-ikːoɬi=ɬodi hede-b gʷal.u-la hinu.		One day Molla-Nasreddin caught a hare and put it in a sack.		once Molla-Nasreddin-erg iii-catch.aor=rep hare iii-be.caus.aor=rep dist-iii sack-in inside		maisak2017	6	Originally from another source.
8	Andi	Gagatli	village	no	no	Evidential and quotative particles	attested						ʁodi / ɬodi	particle	цитатная частица	salimov2010	216	Particles “agree” with the tense of the predicate: non-aorist / aorist. See Maisak (2017).	Samira Verhees	Има вукъголъоди.		Отец пришел, говорится.				salimov2010	216	
11	Andi	Rikvani	village	no	no	Evidential and quotative particles	attested						ʁodi / ɬodi	particle	reportative	maisak2017	NA	Particles “agree” with the tense of the predicate: non-aorist / aorist. See Maisak (2017).	Samira Verhees	w-uk’o-d꞊ʁodi, w-uk’o-č’igu꞊ʁodi se-w χan...		There lived (= there was, there was not) one king… {beginning of a fairy-tale}		m-be-prf=rep m-be-prf.neg=rep one-m king		maisak2017	5	Only non-aorist form example.
12	Andi	Zilo	village	no	no	Evidential and quotative particles	attested						ʁodi / ɬodi	particle	reportative	kayeetal2020	CHECK	Particles “agree” with the tense of the predicate: non-aorist / aorist. See Maisak (2017).	Samira Verhees	q’inn-i-j=ʁodi cːаnа.		A thorn stuck [into his leg].		stick-pst-pf=rep thorn		kayeetal2020	CHECK	
14	Archi	Archib	village	yes	yes	Evidential and quotative particles	attested	attested					(e)r	particle	комментатив (показатель косвенной речи)	kibrik1977	231-238		Samira Verhees	to-w χʷe-r-t̄e-r-ši e‹w›di žu is q’onq’ eɬu-t’ō-r-ši.		He swore he did not steal my book.		that-1 <ipf>swear-ipf-cvb.dep <1>aux.pfv self.erg my book 4.steal.pfv-neg-quot-cvb		daniel2006	2	Examples in Daniel (2006) show that the quotative / reportative can be placed inside a converb, or be followed with an attributive marker. It also seems to be two distinct but identical morphemes which differ in terms of distribution.
15	Armenian	Modern Eastern Armenian	idiom	yes	yes	Evidential and quotative particles	not attested	not attested					no particle	no particle	NA	dum-tragut2009	NA	Reported speech is marked with general subordinators, see Dum-Tragut (2009).	Samira Verhees									
16	Avar	Standard Avar	idiom	yes	no	Evidential and quotative particles	attested	attested					an	particle	NA	forker2018avar	CHECK		Samira Verhees	b-os-un b-ugo=an		(He) (apparently) took it.		n-take-cvb n-cop=quot		forker2018avar	CHECK	Not clear to what extent this marks hearsay (see translation). Example originally from another source.
18	Avar	Standard Avar	idiom	no	no	Evidential and quotative particles	attested	attested					ilan	particle	NA	forker2018avar	CHECK		Samira Verhees	Гьаб хабар щибилан вачӀана эмен рокъове		Что за раз­говоры, мол, пришел отец домой				alekseevetal2012	236	No speech matrix verb.
17	Avar	Standard Avar	idiom	no	no	Evidential and quotative particles		attested					ali	particle	NA	forker2018avar	CHECK		Samira Verhees	Гьес вацасда бицана, жиз кин цӀалулев вугевали		Он брату рассказал, как он учится.				alekseevetal2012	236	Non-finite main predicate.
19	Avar	Standard Avar	idiom	no	yes	Evidential and quotative particles	attested						ila	particle	NA	forker2018avar	CHECK		Samira Verhees	ħami-t’a-sa ɣorƛ-e-gun rik’ː-an=ila ħamul, b-ug=ila anc’a-b=go ħama		Down from the donkey, he counted them. Apparently there are 10 donkeys.		donkey.obl-spr-abl down-lat-comit count-aor=evid donkey.pl n-cop=evid ten-n=prt donkey		forker2018avar	CHECK	From a folktale. Originally from another source.
20	Azerbaijani	Standard Azerbaijani	idiom	yes	yes	Evidential and quotative particles	not attested	not attested					no particle	no particle	NA	shiralievsevortyan1973	NA		Samira Verhees									
23	Bagvalal	Kvanada	village	yes	no	Evidential and quotative particles	attested	attested					ʁala	particle	частица косвенной речи	maisakchumakina2001	723-724	Distribution?	Samira Verhees	particles_bagvalal_rala.jpg						maisakchumakina2001	723	
22	Bagvalal	Kvanada	village	no	yes	Evidential and quotative particles	attested	attested					(ʁe II ʁa(la))di	particle	частица косвенной речи	maisakchumakina2001	723-724	Distribution?	Samira Verhees	particles_bagvalal_di.jpg						maisakchumakina2001	724	
21	Bagvalal	Kvanada	village	no	no	Evidential and quotative particles		attested					ʁe	particle	частица косвенной речи	maisakchumakina2001	723-724	Distribution?	Samira Verhees	particles_bagvalal_re.jpg						maisakchumakina2001	723	
24	Bats	Zemo-Alvani	village	yes	yes	Evidential and quotative particles	not attested	attested					ainO	particle	reported speech particle	holiskygagua1994	187		Samira Verhees	lamnax-ainO		in the mountains, he said				holiskygagua1994	187	For lack of a better example.
25	Bezhta	Bezhta	village	yes	yes	Evidential and quotative particles	attested	attested					ƛo	particle	reported evidential particle	khalilova2011	NA		Samira Verhees	holco načalniki-ya niso-na gey ali-qa hons-coy-s öžö dibo gey, hons-coy-s öžö dil Ø-aqa-s-λo niso-na		The chief said to Ali, “You have one of the boys, and I will have another boy.”		that.obl chief-obl.erg say-pfv.cvb be.prs ali-poss one-distr-gen1 boy 1sg.gen1 be.prs one-distr-gen1 boy(i) 1sg.dat i-become-fut-quot say-pfv.cvb		khalilova2011	44	
26	Botlikh	Botlikh	village	yes	no	Evidential and quotative particles		attested					talu	particle	частица косвенной речи; quotative	gudava1962; alexeyevverhees2020	260; CHECK		Samira Verhees	iš-qa ʁʷa-ba=talu hiƛ’-u hu-šːu-χi		They told him: “go home!”		home-apud.lat come-imp=quot say-aor dem-m-apud		alexeyevverhees2020	CHECK	
27	Botlikh	Botlikh	village	no	no	Evidential and quotative particles		attested					kʹul	particle	частица косвенной речи	gudava1962	260		Samira Verhees	Гьена гьикьу ида: гьенайдара ишкур-к1ул т1алаб игьу, гьеналхару бесхъа мин игьила, гьуб бакъащайла бужир-хул диб. 		ADD				gudava1962	CHECK	From text 9.
28	Botlikh	Botlikh	village	no	no	Evidential and quotative particles		attested					χul	particle	частица косвенной речи	gudava1962	260		Samira Verhees	Кунт1уди галълъихи — гьуб бигьа на-хул-талула гьикьу габ хъарзинла ибча, томонгила ибху, гав орсса вул1у ида.		ADD				gudava1962	CHECK	From text 11.
29	Botlikh	Botlikh	village	no	yes	Evidential and quotative particles	attested						χʷata 	particle	reportative	alexeyevverhees2020	CHECK		Samira Verhees	zini=χʷata hiƛ’a b-ukː-u		[The/a] cow, they say, fell down.		cow=rep down n-fall-aor		alexeyevverhees2020	CHECK	
30	Budukh	Budukh	idiom	yes	yes	Evidential and quotative particles	not attested	not attested					NA	no particle	NA	talibov2007	NA		Samira Verhees									
31	Chamalal	Verkhnie Gakvari	village	yes	no	Evidential and quotative particles		attested					daq	particle	цитатная форма глагола	bokarev1949chamalal	113-114	Distribution remains unclear to me.	Samira Verhees	particles_chamalal_daq.jpg						bokarev1949chamalal	113	
32	Chamalal	Verkhnie Gakvari	village	no	no	Evidential and quotative particles		attested					ƛaq	particle	цитатная форма глагола	bokarev1949chamalal	113-114	Distribution remains unclear to me.	Samira Verhees	No example.								
33	Chamalal	Verkhnie Gakvari	village	no	no	Evidential and quotative particles		attested					ɬadaq	particle	цитатная форма глагола	bokarev1949chamalal	113-114	Distribution remains unclear to me.	Samira Verhees	particles_chamalal_ladaq.jpg						bokarev1949chamalal	114	
35	Chamalal	Verkhnie Gakvari	village	no	no	Evidential and quotative particles	attested						χa // χalla	particle	выражение чужой речи	bokarev1949chamalal	113-114	Distribution remains unclear to me.	Samira Verhees	биъахалла		пришел, говорят				bokarev1949chamalal	114	Also has a predicativizing function.
34	Chamalal	Verkhnie Gakvari	village	no	yes	Evidential and quotative particles	attested						kʹa // kʹalla	particle	выражение чужой речи	bokarev1949chamalal	113-114	Distribution remains unclear to me.	Samira Verhees	бул1удда1к1алла	buƛu-dːa=k’alla	вышел, говорят			go_out-pst.ptcp=rep	bokarev1949chamalal	114	Also has a predicativizing function.
36	Chechen	Standard Chechen	idiom	yes	yes	Evidential and quotative particles	not attested	attested					äìla	verb	quotative	nichols1994	61-62	“Having said” converb.	Samira Verhees	particles_chechen_ailla.jpg						nichols1994	61	
37	Chechen	Standard Chechen	idiom	no	no	Evidential and quotative particles		attested					boːxuš	verb	quotative	nichols1994	61-62	“Saying” converb.	Samira Verhees	particles_chechen_boxus.jpg						nichols1994	62	
79	Dargwa	Sanzhi	village	yes	no	Evidential and quotative particles		attested					bik'ul	verb	quotative particle	forker2019	NA	Imperfective converb of ‘say’.	Samira Verhees	xːunul-li tiladi b-arq’-ib ca-b hel-i-cːe “ma-ax-utːa!” r-ik’-ul		His wife begged him “Do not go!”		woman-erg request n-do.pfv-pret be-n that-obl-in proh-go-proh.sg f-say.ipfv-icvb		forker2019	176	
80	Dargwa	Sanzhi	village	no	no	Evidential and quotative particles		attested					haʔible	verb	quotative particle	forker2019	NA	Perfective converb of ‘say’.	Samira Verhees	Ramazan ʁaj b-ičː-ib dam “kumek b-irq’-an=da” haʔ-ib-le		Ramazan promised me “I will help (you).”		Ramazan word n-give.pfv-pret 1sg.dat help n-do.ipfv-ptcp=1 say.pfv-pret-cvb		forker2019	178	
78	Dargwa	Itsari	village	no	no	Evidential and quotative particles					attested		q’al	particle	clitic	tatevosov2001	452-455		Samira Verhees	pːirzident saIR-ib-q’al		{CI: The speaker has just seen the president arrive (no one had expected this event): - Have you heard the news? C2: The speaker has just heard that the president arrived unexpectedly but has not witnessed the event: -Have you heard the news?} The President came!		president m.come.pfv-pst-mir		tatevosov2001	454	Replaced macron with a lengthmark.
38	Dargwa	Standard Dargwa	idiom	yes	yes	Evidential and quotative particles	not attested	not attested					NA	no particle	NA	vandenberg2001	NA		Samira Verhees									
39	Godoberi	Godoberi	village	yes	yes	Evidential and quotative particles	not attested	attested					ƛ’u	particle	citation clitic	haspelmath1996	181-186		Samira Verhees	jaš-u-di hiʟ’i il-u-qi den quča b=aχ-i-ʟi-bu-da-ʟ’u		Daughter told mother: “I will bring the book.” (lit. Daughter said to mother, having said, I will bring the book.) 		daughter-obl-erg say.pst mother-obl-ad [I book n=bring-inf-fut-part-cop-cit]		haspelmath1996	182	
40	Godoberi	Godoberi	village	no	no	Evidential and quotative particles		attested					ɬa / wa	particle	evidential particle	haspelmath1996	181-186	Particles “agree” with the tense of the predicate: simple past / non-simple past. Co-occur with -ƛ’u, but -ƛ’u can occur without these two particles.	Samira Verhees	ʕali-di hiʟ’i il-u-qi in-šː-o niša bu=š-al-at-a-wa:-ʟ’u		Ali told (his) mother that he was collecting apricots.		ali-erg say.pst mother-obl-ad [self.obl-obl.m-erg apricot n=assemble-caus-prs-conv-ept-cit]		haspelmath1996	183	Particle wa replaces copula ida in the construction.
41	Godoberi	Godoberi	village	no	no	Evidential and quotative particles		attested					ɬaqi / waqi	particle	uncertainty particle	haspelmath1996	181-186	Particles “agree” with the tense of the predicate: simple past / non-simple past.	Samira Verhees	di-ɬi rukː-at-a-da ʕali wu=na-ɬa:-ʟ’u ʕali wu=na-ɬaqi-ʟ’u		It seems to me that Ali has left.		I.obl-dat seem-prs-conv-cop [Ali m=go.pst-ept-cit] [Ali m=go.pst-upt-cit]		haspelmath1996	185	Replaced macron with a lengthmark.
42	Hinuq	Hinuq	village	yes	no	Evidential and quotative particles		attested					ƛen	particle	quotative enclitic	forker2013	652-664		Samira Verhees	ɣʷadiː “q’ʷa”=ƛen eƛi-n		The crow said “Krah.”		crow.erg krah=quot say-uwpst		forker2013	660	
43	Hinuq	Hinuq	village	no	yes	Evidential and quotative particles	attested						(e)ƛ	particle	narrative enclitic	forker2013	313-319		Samira Verhees	nartaw-i ʡažaʔibɬi r-uː-s=eƛ, Ø-uƛ’-iš=eƛ		The giant wondered and got afraid.		giant-erg wonder(v) v-do-pst=narr, i-be.afraid-pst=narr		forker2013	316	
44	Hunzib	Hunzib	village	yes	yes	Evidential and quotative particles	not attested	attested					ƛe	particle	NA	khalilova2011	NA		Samira Verhees	hobol Ø-oho-n lo-y-ƛe nɨsә-n li?		“Did you feed the guest?” - he said.		guest(i) i-feed-pfv-cvb be.prs-int-quot say-pfv.cvb be(v)		khalilova2011	46	
46	Ingush	Standard Ingush	idiom	yes	no	Evidential and quotative particles	attested	not attested					joax	verb	NA	nichols2011	279		Samira Verhees	T’aaqqa, vaampal veaghaav joax, tur wa=’a ottadea k’al …		A vaampal (giant) was sitting there with his sword laid out before him…		so then giant v.sit.nw.v quot sword dx=& stand-d.cs.cvant under		nichols2011	279	
45	Ingush	Standard Ingush	idiom	no	yes	Evidential and quotative particles	attested						ealar	verb	NA	nichols2011	249-250		Samira Verhees	Tq’ea shi’ inaral voaghar ealar, shie propusk jalcha maara, cynna t’y-vaxa jish jolazh vaacar ealar yzh.		22 generals would come to get the permit without which they couldn’t go to see him (the czar), he said.		20 two-nz general v.come.impf say.wp 3srfl pass j.give.cvtemp only 3s.dat at-v.go.inf possibility j.be.cvsim v.prog:neg.pst say.wp 3p		nichols2011	250	
49	Karata	Karata	village	yes	yes	Evidential and quotative particles	not attested	attested					ƛ'ːe	particle	частица косвенной речи	magomedbekova1971	173	According to Magomedbekova (1971: 173) all quotative particles derive from keƛ’e ‘said’.	Samira Verhees	particles_karata_le.jpg						magomedbekova1971	173	
47	Karata	Tukita	village	no	no	Evidential and quotative particles		attested					ƛ'ːi / ƛ'ːa	particle	частица косвенной речи	magomedbekova1971; gadzhieva2007	173; 140	According to Gadžieva (2007: 140), ƛ’i appears in the “inlaut” of the word, ƛ’a in the “auslaut”, judging from examples in Magomedbekova (1971: 173) this means ƛ’i can appear between the verb root and the converb suffix -baχ, while ƛ’a appears after the verb form.; According to Magomedbekova (1971: 173) all quotative particles derive from keƛ’e ‘said’.	Samira Verhees	particles_tukita_li.jpg						magomedbekova1971	173	
50	Karata	Karata	village	no	no	Evidential and quotative particles				attested			lda	particle	частица заглазного действия	magomedbekova1971	174		Samira Verhees	particles_karata_lda.jpg						magomedbekova1971	174	
48	Karata	Tukita	village	no	no	Evidential and quotative particles				attested			eƛ / ƛa	particle	частица заглазного действия	magomedbekova1971	174		Samira Verhees	particles_tukita_el.jpg						magomedbekova1971	174	
51	Khinalug	Khinalug	village	yes	yes	Evidential and quotative particles	not attested	not attested					NA	no particle	NA	kibriketal1972	NA		Samira Verhees									
54	Khwarshi	Kwantlada	village	yes	yes	Evidential and quotative particles	attested	not attested					č’aːl	verb	hearsay construction	khalilova2009	239	General tense of č’ala ‘to inform, to hear’. Similar construction of unclear status discussed in Khalilova (2009: 239), example 447. 	Samira Verhees	žequɬ os iλ-še (λɨn) č’āl.		They say that today (they) will give (us) money.		today money give-prs quot inform.gnt		khalilova2009	239	
52	Khwarshi	Kwantlada	village	no	no	Evidential and quotative particles							ƛɨn	particle	reported evidential particle	khalilova2009	237-239, 221		Samira Verhees	hed iλ-in ise žik’ó, dubo omˁoq’ˁe ħono-lux ˁōnˁōnλ-aλa, mo Ø-uh-a goli λɨn.		Then that man said, “You will die, when your donkey brays three times.”		then say-pst.uw that.obl man.obl.erg 2sg.gen1 donkey three-repet bray-antr 2sg.abs i-die-inf be.prs quot		khalilova2009	238	
53	Khwarshi	Kwantlada	village	no	no	Evidential and quotative particles							ƛo	particle	narrative particle	khalilova2009	237-239, 221		Samira Verhees	heč’č’e atɣuli hunne-ma b-us-i-λo isul boc’o q’ˁem-ɨn l-eλ-ɨn		First he met a wolf who had a headache. [The man who went to God]		most in.front road-in iii-find-pst.w-narr that.lat wolf(iii) head(iv)-and iv-be.ill-pfv.cvb		khalilova2009	238	
55	Kryz	Alik	village	yes	yes	Evidential and quotative particles	attested	not attested	attested	attested	attested		miš	particle	evidentiality-marking clitic	authier2009; authier2010	255-257; 15-17	Matter borrowing from Azerbaijani.	Samira Verhees	u-cbar ʕa-b-xhr-i k’ul-ci cuxud q’ay-ca-miş		The master of the house where they arrived had died.		3-hpl pv-hpl-come.pf-part house-gen master die-perf-evid		authier2010	16	According to Authier (2010: 16): “non-direct evidence in the past, not necessarily remote”
56	Kumyk	Standard Kumyk	idiom	yes	yes	Evidential and quotative particles	not attested	not attested					no particle	no particle	NA	abdullaevaetal2014	NA		Samira Verhees									
59	Lak	Standard Lak	idiom	yes	yes	Evidential and quotative particles	attested	attested					tʹar	verb	NA	friedman2007	363-367	Verb ‘say’ third singular present.; kunu, t’ij and t’ar are different forms of the same verb.	Samira Verhees	particles_lak_tar.jpg						friedman2007	365	
57	Lak	Standard Lak	idiom	no	no	Evidential and quotative particles		attested					kunu	verb	NA	friedman2007	363-367	Verb ‘say’ past gerund.; kunu, t’ij and t’ar are different forms of the same verb.	Samira Verhees	particles_lak_kunu.jpg						friedman2007	364	
58	Lak	Standard Lak	idiom	no	no	Evidential and quotative particles		attested					tʹij	verb	NA	friedman2007	363-367	Verb ‘say’ present gerund.; kunu, t’ij and t’ar are different forms of the same verb.	Samira Verhees	particles_lak_tij.jpg						friedman2007	364	
60	Lak	Standard Lak	idiom	no	no	Evidential and quotative particles			attested				kːar	verb	NA	friedman2007	363-367	Verb ‘appear’ past gerund.	Samira Verhees	particles_lak_kar.jpg						friedman2007	368	
61	Lak	Standard Lak	idiom	no	no	Evidential and quotative particles			attested				χːaj	verb	NA	friedman2007	363-367	Verb ‘appear’ present gerund.	Samira Verhees	particles_lak_xaj.jpg						friedman2007	367	
62	Lezgian	Standard Lezgian	idiom	yes	yes	Evidential and quotative particles	attested	not attested					lda	particle	NA	haspelmath1993	148		Samira Verhees	particles_lezgian_lda.jpg						haspelmath1993	148	
63	Nogai	Standard Nogai	idiom	yes	yes	Evidential and quotative particles	not attested	not attested					NA	no particle	NA	NA			Samira Verhees									
67	Rutul	Standard Rutul (Mukhad)	idiom	yes	no	Evidential and quotative particles		attested					xʷa	particle	NA	maxmudova2002	252		Samira Verhees	"Хынхыра ""мыкьа йиъи"" хьва"		"""Мальчик говорит, что ему холодно"" (букв. ""Мальчик ""холодно есть"" говорит"")"				maxmudova2002	252	
64	Rutul	Standard Rutul (Mukhad)	idiom	no	no	Evidential and quotative particles		attested					xur	verb	NA	maxmudova2002	252	verb ‘say’ past	Samira Verhees	Хыных 'Мыкьа йиъи, мыкьа йиъи' хьур, некьик кирхьури		Мальчик, жалуясь на холод, уснул' (букв. 'Мальчик 'Холодно есть, холодно есть'  сказав, в сон упал')				maxmudova2002	252	
65	Rutul	Standard Rutul (Mukhad)	idiom	no	no	Evidential and quotative particles		attested					ruxura	verb	NA	maxmudova2002	252	verb ‘say’ present	Samira Verhees	Нин, нин!' рухьура, рухьура рыш некьиклаа киирхьури		Мама, мама' говоря, девочка проснулась' (букв. 'Мама, мама' говоря,  говоря, девочка из сна выпала')				maxmudova2002	252	
68	Rutul	Luchek	village	no	no	Evidential and quotative particles			attested				kal	particle	NA	alekseev1994rutul	237		Samira Verhees	t’urcː-kal kːirχːar		The colonel, it seems, is intervening.				alekseev1994	237	
66	Rutul	Standard Rutul (Mukhad)	idiom	no	yes	Evidential and quotative particles	not attested						xire	particle	NA	maxmudova2002	252	Particle for repetition of words.	Samira Verhees	Гь1аюхь! гь1аюхь!  - хьире, гихъджиихьир ъай К1асый		"""Жаль! Жаль! - не мог успокоиться Касай (букв. ""Жаль! Жаль! -говоря, не умолкал Касай)"				maxmudova2002	252	
70	Tabasaran	Southern Tabasaran	idiom	yes	yes	Evidential and quotative particles	not attested	attested					kʹurdi / kʹuri	verb	NA	magometov1965	340-341	Verb ‘say’ present gerund.	Samira Verhees	duɣu ɣapnu, uxurza ḳuri.		Он сказал, что прочтет. (досл. Он сказал, прочту, говоря.)				magometov1965	340	Dialect of the village Gumi (Northern Tabasaran).
71	Tabasaran	Southern Tabasaran	idiom	no	no	Evidential and quotative particles		attested					dnpnu / pnu	verb	NA	magometov1965	340-341	Verb ‘say’ past gerund.	Samira Verhees	dnɣu fikir apura, uč⁰ uǯur wu pnu (//ḳuri).		Он думает, сам хороший, сказав // говоря.				magometov1965	341	Dialect of the village Gumi (Northern Tabasaran).
72	Tindi	Tindi	village	yes	yes	Evidential and quotative particles	not attested	attested					ƛ'o	particle	цитатная форма глагола	magomedova2003; magomedova 2012	579; 202		Samira Verhees	particles_tindi_lo.jpg						magomedova2012	202	
73	Tsakhur	Mishlesh	village	yes	yes	Evidential and quotative particles	not attested	not attested				speaker acquired information about even in the past	jiː	particle		maisaktatevosov1998; maisaktatevosov2007	74-85; 392-403	Somehow evidentiality-adjacent.	Samira Verhees									
74	Tsakhur	Mishlesh	village	no	no	Evidential and quotative particles						speaker’s epistemic authority regarding an event	niː	particle		maisaktatevosov1998	64-73	Somehow evidentiality-adjacent.	Samira Verhees									
75	Tsez	Asakh	village	yes	no	Evidential and quotative particles		attested					ƛin	particle	quotative particle	khalilova2011	NA		Samira Verhees	c’i rik’asi keč’oqan Ø-ay-x-λin eλi-x išk’olār.		(They) say the famous singer will arrive at (our) school.		name man(i) singer i-come-prs-quot say-prs school.in.lat		khalilova2011	44	
76	Tsez	Asakh	village	no	yes	Evidential and quotative particles	attested						ƛaχ	particle	narrative particle	khalilova2011	NA		Samira Verhees	No example.								
77	Udi	Nizh	village	yes	yes	Evidential and quotative particles	not attested	not attested					no particle	no particle	NA	schulze1982	NA		Samira Verhees									
